index,job,sector,sex,2015,2016,2017
,,,Females,53500,55000,56260
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
2264,Physiotherapists,private sector and public enterprises,Males,42800,44100,45870
,,,Females,39000,40400,42030
,,local government,Males,37200,38300,38820
,,,Females,36600,37300,38390
,,central government,Males,37900,38400,39080
,,,Females,37700,39000,39990
2265,Dieticians and nutritionists,private sector and public enterprises,Males,,56700,56080
,,,Females,47900,48600,48980
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,42800,44000,44430
2266,Audiologists and speech therapists,private sector and public enterprises,Males,,,
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,35800,37700,37360
2267,Ergotherapists,private sector and public enterprises,Males,,,
,,,Females,37500,38400,39360
,,local government,Males,38400,38100,38750
,,,Females,36400,37200,38220
,,central government,Males,,,
,,,Females,37200,38600,39440
2310,University and higher education teachers,private sector and public enterprises,Males,52100,52800,53890
,,,Females,45700,46800,47740
,,local government,Males,,,
,,,Females,,,
,,central government,Males,49600,50300,51070
,,,Females,45800,46500,47320
2320,Vocational education teachers,private sector and public enterprises,Males,42900,43000,44380
,,,Females,,,
,,local government,Males,42600,43400,43570
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
2330,Secondary education teachers,private sector and public enterprises,Males,45800,46400,47900
,,,Females,44700,45400,46760
,,local government,Males,45000,46000,46950
,,,Females,44700,45700,46500
,,central government,Males,,,
,,,Females,,,
2341,Primary school teachers,private sector and public enterprises,Males,39700,40800,41520
,,,Females,39100,40200,41220
,,local government,Males,42600,43600,44270
,,,Females,41700,42700,43360
,,central government,Males,,,
,,,Females,,,
2342,Early childhood teachers,private sector and public enterprises,Males,36100,36400,37490
,,,Females,36400,36900,38290
,,local government,Males,36700,37400,38800
,,,Females,36900,37800,38690
,,central government,Males,,,
,,,Females,,,
2351,Education methods specialists,private sector and public enterprises,Males,45400,46700,47710
,,,Females,40300,41100,42900
,,local government,Males,50800,51400,52530
,,,Females,48400,49600,50670
,,central government,Males,,,
,,,Females,42900,42900,
2352,Special needs teachers,private sector and public enterprises,Males,,,
,,,Females,,40100,41160
,,local government,Males,,,
,,,Females,40000,41400,42590
,,central government,Males,,,
,,,Females,43300,44100,45140
2354,Other music teachers,private sector and public enterprises,Males,,,
,,,Females,,,
,,local government,Males,41600,42000,43020
,,,Females,40800,41600,43200
,,central government,Males,,,
,,,Females,,,
2359,Teaching professionals not elsewhere classified,private sector and public enterprises,Males,47200,48000,49820
,,,Females,39700,41000,41840
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,44400,45800,46590
2411,Accountants,private sector and public enterprises,Males,61100,61700,63860
,,,Females,51600,53500,54900
,,local government,Males,45200,45800,48010
,,,Females,40000,41100,42330
,,central government,Males,44600,45600,47090
,,,Females,41300,42100,43080
2412,Financial and investment advisers,private sector and public enterprises,Males,65400,66300,67030
,,,Females,51500,53100,53620
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
2413,Financial analysts,private sector and public enterprises,Males,62700,63500,65920
,,,Females,52000,53600,55120
,,local government,Males,,,
,,,Females,,,
,,central government,Males,48600,49500,50470
,,,Females,45400,46100,46770
2421,Management and organisation analysts,private sector and public enterprises,Males,62300,65000,65130
,,,Females,50100,51300,52570
,,local government,Males,43500,43900,45230
,,,Females,41100,42300,43170
,,central government,Males,44600,46100,46830
,,,Females,40600,41300,42470
2422,Policy administration professionals,private sector and public enterprises,Males,56100,57700,60990
,,,Females,47300,48400,50090
,,local government,Males,46000,46900,48200
,,,Females,42200,43300,44760
,,central government,Males,47700,48300,49600
,,,Females,42700,43200,44470
2423,Personnel and careers professionals,private sector and public enterprises,Males,58800,59200,60160
,,,Females,51100,52400,54150
,,local government,Males,46300,47400,47640
,,,Females,42600,44000,45300
,,central government,Males,50100,50800,52670
,,,Females,45000,45800,47310
2424,Training and staff development professionals,private sector and public enterprises,Males,51100,52000,53920
,,,Females,46700,48500,51390
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
2431,Advertising and marketing professionals,private sector and public enterprises,Males,50900,50800,53930
,,,Females,44000,45100,46430
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
2432,Public relations professionals,private sector and public enterprises,Males,52200,52300,54330
,,,Females,47900,48700,49730
,,local government,Males,,,
,,,Females,,,
,,central government,Males,46100,47000,48660
,,,Females,44100,45000,46570
2433,Technical and medical sales professionals (excluding ICT),private sector and public enterprises,Males,57600,58000,59230
,,,Females,54200,53700,56690
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
2434,Information and communications technology sales professionals,private sector and public enterprises,Males,55600,58300,61950
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
2511,Systems analysts,private sector and public enterprises,Males,58800,60300,61770
,,,Females,55300,56900,58520
,,local government,Males,46200,46800,48330
,,,Females,41700,,
,,central government,Males,49200,50500,52280
,,,Females,46900,47800,49750
2512,Software developers,private sector and public enterprises,Males,54600,56200,56950
,,,Females,49000,50700,52750
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
2519,Software and applications developers and analysts not elsewhere classified,private sector and public enterprises,Males,55100,57400,58510
,,,Females,50200,52000,53700
,,local government,Males,42600,43000,43840
,,,Females,,,
,,central government,Males,43300,44500,45330
