index,job,sector,sex,2015,2016,2017
8143,Paper products machine operators,private sector and public enterprises,Males,31700,32000,33200
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
8152,Weaving and knitting machine operators,private sector and public enterprises,Males,34300,35100,36030
,,,Females,29700,30700,31910
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
8153,Sewing machine operators,private sector and public enterprises,Males,,30200,29990
,,,Females,30300,31000,32340
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
8157,Laundry machine operators,private sector and public enterprises,Males,28900,30300,30540
,,,Females,29100,30400,30920
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
8160,Food and related products machine operators,private sector and public enterprises,Males,33500,34400,35650
,,,Females,31400,32200,33410
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
8171,Pulp and papermaking plant operators,private sector and public enterprises,Males,33400,34600,34940
,,,Females,30200,30800,31960
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
8172,Wood processing plant operators,private sector and public enterprises,Males,31100,32000,33100
,,,Females,31200,31300,32060
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
8181,Glass and ceramics plant operators,private sector and public enterprises,Males,33200,34300,35340
,,,Females,32500,32200,34750
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
8182,Steam engine and boiler operators,private sector and public enterprises,Males,42100,41400,43120
,,,Females,,,
,,local government,Males,37700,38500,39540
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
8183,"Packing, bottling and labelling machine operators",private sector and public enterprises,Males,38400,39100,39890
,,,Females,34900,35500,36310
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
8211,Mechanical machinery assemblers,private sector and public enterprises,Males,36100,36500,37570
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
8212,Electrical and electronic equipment assemblers,private sector and public enterprises,Males,37800,39300,40370
,,,Females,32800,33700,34490
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
8311,Locomotive engine drivers,private sector and public enterprises,Males,54100,53900,57080
,,,Females,48400,47700,50570
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
8322,"Car, taxi, van and motorcycle drivers",private sector and public enterprises,Males,30900,32000,32610
,,,Females,29700,30300,30840
,,local government,Males,,,
,,,Females,,,
,,central government,Males,35100,36500,37630
,,,Females,,,
8331,Bus and tram drivers,private sector and public enterprises,Males,33600,34600,35520
,,,Females,33000,34100,35250
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
8332,Heavy truck and lorry drivers,private sector and public enterprises,Males,34200,35000,35720
,,,Females,32400,33700,34220
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
8341,Mobile farm and forestry plant operators,private sector and public enterprises,Males,32500,33700,34260
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
8342,Earthmoving and related plant operators,private sector and public enterprises,Males,36600,37600,38600
,,,Females,35300,35700,35990
,,local government,Males,35200,36000,36890
,,,Females,32600,33600,34060
,,central government,Males,43300,45100,43430
,,,Females,,,
8343,"Crane, hoist and related plant operators",private sector and public enterprises,Males,39900,40300,41550
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
8344,Lifting truck operators,private sector and public enterprises,Males,33400,34600,35410
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
8350,Ships¿ deck crew and related workers,private sector and public enterprises,Males,40000,40200,41240
,,,Females,31000,31500,33890
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
9111,Domestic cleaners and helpers,private sector and public enterprises,Males,,,
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
9112,"Cleaners and helpers in offices, hotels and other local kinds of activity units",private sector and public enterprises,Males,31700,32100,33020
,,,Females,31100,31500,32160
,,local government,Males,29700,30700,31250
,,,Females,30600,31600,32220
,,central government,Males,31100,32000,33020
,,,Females,30700,31500,32470
9122,Vehicle cleaners,private sector and public enterprises,Males,30100,31100,31880
,,,Females,,,29580
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
9211,Crop farm labourers,private sector and public enterprises,Males,25100,26100,26860
,,,Females,,26000,24180
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
9212,Livestock farm labourers,private sector and public enterprises,Males,,,
,,,Females,,,25050
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
9213,Mixed crop and livestock farm labourers,private sector and public enterprises,Males,27800,27800,26380
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
9214,Garden and horticultural labourers,private sector and public enterprises,Males,29200,30100,30490
,,,Females,,,
,,local government,Males,31500,31800,32730
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
9312,Civil engineering labourers,private sector and public enterprises,Males,34600,35500,36130
,,,Females,32500,33200,32710
,,local government,Males,31100,31800,32540
,,,Females,,,
,,central government,Males,18400,18400,19280
,,,Females,,,
9313,Building construction labourers,private sector and public enterprises,Males,30800,31500,32370
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
9321,Hand packers,private sector and public enterprises,Males,34000,33000,33220
,,,Females,32500,32000,32430
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
9329,Manufacturing labourers not elsewhere classified,private sector and public enterprises,Males,34400,35000,35920
,,,Females,32000,32500,33580
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
9333,Freight handlers,private sector and public enterprises,Males,32900,35100,36010
,,,Females,,33400,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
9334,Shelf fillers,private sector and public enterprises,Males,29700,31200,30600
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
9412,Kitchen helpers,private sector and public enterprises,Males,26500,27200,27960
,,,Females,27600,28500,29050
,,local government,Males,,,
,,,Females,31400,32100,32410
,,central government,Males,,,
,,,Females,30800,31700,32990
9510,Street and related service workers,private sector and public enterprises,Males,29600,30400,35130
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
9611,Garbage and recycling collectors,private sector and public enterprises,Males,32700,33300,35340
,,,Females,31600,32700,33250
,,local government,Males,34000,34700,35590
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
9612,Refuse sorters,private sector and public enterprises,Males,30800,31700,32970
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
9621,"Messengers, package deliverers and luggage porters",private sector and public enterprises,Males,30800,28400,30120
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
9622,Odd job persons,private sector and public enterprises,Males,32100,32300,33220
,,,Females,,29500,29820
,,local government,Males,30600,30100,31340
,,,Females,,,
,,central government,Males,34800,35600,36800
,,,Females,,,
9629,Elementary workers not elsewhere classified,,,,,
